Tot_Match_Played,Tot_Runs,batsman,run_Over_1,run_Over_10,run_Over_11,run_Over_12,run_Over_13,run_Over_14,run_Over_15,run_Over_16,run_Over_17,run_Over_18,run_Over_19,run_Over_2,run_Over_20,run_Over_3,run_Over_4,run_Over_5,run_Over_6,run_Over_7,run_Over_8,run_Over_9
5.0,79.0,LA Carseldine,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,6.0,3.0,3.0,0.0,3.0,5.0,13.0,14.0,5.0,7.0,7.0
2.0,9.0,SM Harwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,2627.0,M Vijay,224.0,114.0,110.0,100.0,93.0,73.0,75.0,52.0,26.0,20.0,22.0,275.0,0.0,347.0,251.0,261.0,211.0,145.0,123.0,105.0
5.0,11.0,SB Jakati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,77.0,RJ Harris,0.0,0.0,1.0,1.0,2.0,5.0,11.0,12.0,18.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,62.0,M Morkel,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,387.0,J Botha,1.0,18.0,12.0,37.0,28.0,22.0,30.0,25.0,30.0,40.0,31.0,6.0,0.0,0.0,17.0,6.0,18.0,12.0,23.0,31.0
1.0,0.0,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,Mashrafe Mortaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,A Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,644.0,GJ Bailey,10.0,16.0,21.0,20.0,21.0,21.0,28.0,41.0,61.0,73.0,115.0,10.0,0.0,25.0,16.0,20.0,57.0,35.0,30.0,24.0
9.0,106.0,AB McDonald,1.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,6.0,23.0,31.0,6.0,0.0,18.0,0.0,2.0,4.0,0.0,0.0,0.0
20.0,287.0,Y Nagar,0.0,7.0,10.0,16.0,20.0,24.0,23.0,32.0,45.0,50.0,44.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0
1.0,6.0,SS Shaikh,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,173.0,R Ashwin,5.0,4.0,9.0,13.0,14.0,10.0,6.0,10.0,23.0,31.0,33.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,2.0,2.0
1.0,5.0,Mohammad Ashraful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
22.0,421.0,CA Pujara,39.0,13.0,18.0,10.0,20.0,22.0,11.0,9.0,22.0,4.0,15.0,32.0,0.0,52.0,44.0,43.0,24.0,11.0,19.0,13.0
22.0,512.0,OA Shah,0.0,18.0,29.0,21.0,42.0,41.0,55.0,70.0,64.0,54.0,59.0,1.0,0.0,0.0,0.0,10.0,13.0,8.0,15.0,12.0
4.0,66.0,Anirudh Singh,0.0,1.0,3.0,4.0,7.0,13.0,2.0,4.0,1.0,8.0,0.0,3.0,0.0,6.0,1.0,5.0,5.0,0.0,2.0,1.0
4.0,2.0,Jaskaran Singh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,277.0,R Sathish,0.0,12.0,14.0,21.0,15.0,32.0,16.0,23.0,40.0,62.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,150.0,R McLaren,2.0,7.0,8.0,6.0,8.0,20.0,14.0,14.0,10.0,9.0,20.0,0.0,0.0,1.0,1.0,8.0,2.0,6.0,10.0,4.0
15.0,223.0,AA Jhunjhunwala,0.0,7.0,5.0,9.0,14.0,19.0,14.0,17.0,13.0,19.0,14.0,1.0,0.0,0.0,7.0,7.0,16.0,9.0,31.0,21.0
12.0,123.0,P Dogra,0.0,4.0,8.0,13.0,5.0,13.0,9.0,23.0,15.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.0,2.0,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,894.0,MS Bisla,77.0,30.0,26.0,29.0,29.0,19.0,8.0,12.0,21.0,17.0,2.0,77.0,0.0,80.0,95.0,121.0,94.0,56.0,52.0,49.0
1.0,0.0,YA Abdulla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,27.0,JM Kemp,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0
1.0,2.0,S Tyagi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,RS Gavaskar,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,SE Bond,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,S Ladda,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,DP Nannes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,297.0,MJ Lumb,65.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,40.0,62.0,25.0,13.0,24.0,9.0,16.0
